22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
22/07/2016 16:10:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
22/07/2016 16:10:35 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.PoweredBy' for language Portuguese (Brazil).
22/07/2016 16:10:35 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SlidePanel.CloseConfirmation' for language Portuguese (Brazil).
22/07/2016 17:02:02 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
